;Droit;Science;Médecine;Technologique;Total
Exp. Agri.;80;99;65;58;302
Patron;168;137;208;62;575
Cadre sup.;470;400;876;79;1825
Employé;145;133;135;54;467
Ouvrier;166;193;127;129;615
Total;1029;962;1411;382;3784
